serial,participant,trial,angle,is.correct,rt
1,1,1,80,1,0.838316643
2,1,6,40,1,0.659763904
3,1,10,80,1,0.844706069
4,1,17,80,1,0.758830087
5,1,20,40,1,0.697696401
6,1,21,160,1,1.658185602
7,1,22,160,1,1.457585497
8,1,24,40,1,1.140361689
9,1,29,160,1,1.283130582
10,1,40,160,1,1.82024603
11,1,41,120,1,1.049825559
12,1,42,80,1,0.953933849
13,1,51,160,1,1.975811642
14,1,59,40,1,1.11419316
15,1,62,0,1,1.856177934
16,1,96,120,1,1.038155676
17,1,108,120,1,1.678607987
18,1,114,120,1,1.287992394
19,1,124,80,1,0.852164349
20,1,131,40,1,0.772775161
21,1,132,160,1,1.385735181
22,1,133,80,1,0.692933049
23,1,134,160,1,1.278395675
24,1,135,160,1,0.752953026
25,1,137,0,1,0.70015247
26,1,138,80,1,0.851701215
27,1,139,40,1,1.580655149
28,1,141,120,1,0.918225125
29,1,143,80,1,0.89977817
30,1,144,120,1,0.842902763
31,1,150,80,1,0.795803496
32,1,151,160,1,0.969395231
33,1,153,80,1,0.592717419
34,1,159,80,1,0.773311229
35,1,169,40,1,0.74763829
36,1,179,160,1,1.242238768
37,1,185,0,1,0.938746701
38,1,188,160,1,1.59071172
39,1,192,0,1,1.447577062
40,1,194,80,1,0.80372491
41,1,195,40,1,0.656785624
42,1,197,0,1,0.777184051
43,1,205,120,1,1.707661075
44,1,207,80,1,0.707991833
45,1,210,120,1,0.995210392
46,1,212,40,1,1.007912662
47,1,213,0,1,0.693834884
48,1,217,160,1,1.952519649
49,1,223,120,1,0.961761178
50,1,225,0,1,0.593572575
51,1,226,40,1,0.707136676
52,1,227,80,1,0.761996538
53,1,228,40,1,0.544970493
54,1,235,40,1,0.658082399
55,1,239,120,1,0.67531463
56,1,244,80,1,0.811874974
57,1,245,40,1,0.711118534
58,1,248,0,1,0.617923577
59,1,249,40,1,0.892277952
60,1,251,160,1,1.259954555
61,1,253,120,1,0.939412593
62,1,266,40,1,0.647939765
63,1,267,160,1,0.787575756
64,1,277,40,1,0.769004448
65,1,278,120,1,0.729539597
66,1,281,120,1,1.3759182
67,1,282,120,1,0.852421443
68,1,284,80,1,0.809960079
69,1,287,120,1,0.676997229
70,1,290,160,1,1.170347245
71,1,294,40,1,0.740048728
72,1,295,0,1,0.631963101
73,1,296,120,1,0.732029945
74,1,312,160,1,0.806955179
75,1,324,40,1,0.690251613
76,1,328,160,1,1.571435136
77,1,329,80,1,0.640694818
78,1,330,0,1,0.635724697
79,1,332,80,1,0.66840664
80,1,334,40,1,0.708444391
81,1,335,80,1,0.627953528
82,1,348,80,1,0.676582232
83,1,350,160,1,0.998967977
84,1,354,80,1,0.667034743
85,1,364,40,1,0.785514263
86,1,365,120,1,1.229377136
87,1,368,40,1,0.835726375
88,1,371,120,1,0.733113752
89,1,373,80,1,0.991093605
90,1,375,0,1,0.699332686
91,1,376,160,1,1.070313585
92,1,384,40,1,0.665406116
93,1,396,40,1,0.707641018
94,1,403,0,1,0.573079808
95,1,404,40,1,0.739230767
96,1,405,40,1,0.626179761
97,1,406,80,1,0.740263884
98,1,408,40,1,0.767528619
99,1,418,120,1,0.707006853
100,1,419,80,1,0.665787928
101,1,425,40,1,1.022003605
102,1,427,80,1,0.990945548
103,1,433,120,1,0.725893238
104,1,435,80,1,0.550641149
105,1,436,40,1,0.686444798
106,1,437,160,1,1.040019153
107,1,438,120,1,0.893490488
108,1,440,80,1,0.615761434
109,1,441,0,1,0.537543574
110,1,442,160,1,0.722578001
111,1,443,40,1,0.542693113
112,1,447,120,1,0.756488525
113,1,453,120,1,0.813065994
114,1,454,120,1,1.079679468
115,1,460,120,1,1.171703462
116,1,467,80,1,0.614828602
117,1,472,0,1,0.906522057
118,1,473,160,1,1.257947033
119,1,482,80,1,0.804667224
120,1,483,120,1,1.344826958
121,1,491,120,1,0.766863456
122,1,496,160,1,0.729246401
123,1,501,160,1,0.822494235
124,1,505,80,1,0.703167217
125,1,508,120,1,0.786264394
126,1,509,40,1,0.551286254
127,1,514,120,1,0.886143797
128,1,515,160,1,0.789329466
129,1,531,160,1,1.211322204
130,1,532,40,1,0.628153003
131,1,536,40,1,0.841870011
132,1,537,120,1,1.087946956
133,1,538,120,1,0.692961494
134,1,541,160,1,1.32440676
135,1,556,80,1,0.753991978
136,1,562,0,1,0.642552094
137,1,572,0,1,0.688268524
138,2,5,120,1,1.95965556
139,2,7,80,1,0.958988574
140,2,10,120,1,3.588217726
141,2,11,120,1,1.755347101
142,2,17,160,1,1.754941585
143,2,23,80,1,3.304801605
